session_id,user_id,duration_min,session_date
983d66ee-2e95-414f-b511-244513611210,596,100.62,2024-02-12
6f8081e2-659a-479b-87ac-fd3a6a5a4916,881,74.72,2024-05-14
f22b8307-29e4-443c-bc06-bcb821bda4a3,281,68.04,2024-08-15
d1794523-207d-4944-84e1-232f26c156bc,424,75.33,2024-04-20
0b696936-78ab-4226-b7a2-bb3df75434ef,856,103.87,2024-11-02
d8c1c954-1515-407c-8406-88f2f55c1cc4,270,70.85,2024-06-08
50655c02-7236-43e4-b325-72d435735742,154,70.13,2024-11-26
ede76385-66d8-4ece-9b45-46607d17ce27,614,118.89,2024-09-20
23644e32-cd2e-40bb-b500-1fe40d9e5acc,727,91.05,2024-08-12
859a5930-6490-46c5-928c-a5f2cbb1538b,662,53.63,2024-08-04
40d5300e-b71b-4991-a38b-f3b22ac0cf8f,944,85.18,2024-02-14
85e2680d-f857-4a5b-a1c7-d73ca6369b86,83,47.32,2024-08-01
fea4b491-ba36-4083-b73b-a02bb5e39431,622,28.24,2024-02-28
159ec33f-99a4-4bd7-a58e-1c45641a537f,947,72.03,2024-05-11
d028af84-cddf-407d-ac31-ffe06e99b9d4,899,111.45,2024-04-13
08a703db-3cef-4e0d-8787-d6669b19ec7f,426,111.57,2024-07-13
9e8ebbb7-db31-478d-b1da-3a7b9014b79d,275,41.69,2024-06-05
7e175b25-9061-4c81-a3b5-e78461a0d6fd,713,63.79,2024-04-07
234c21b9-03e6-4f12-a85a-fdb490adad1f,284,26.18,2024-08-13
5525171e-92c5-413f-9b55-91b1e9bbfd70,980,119.48,2024-07-23
8569de7e-72c8-4f66-be8d-2ca5b2c4ef62,173,117.75,2024-03-19
7fbd45b8-a270-4577-9cc2-52acc4bef9ca,327,78.29,2024-05-03
7a102625-9d0f-4cbd-934b-eea2167daa05,718,96.73,2024-08-05
b0e6e746-422c-4e10-acce-c8df57d3b121,63,86.1,2024-01-04
fada0193-e57f-4c53-b95e-e03c57b2730e,73,71.59,2024-03-30
e79bcbe8-cf25-4b9f-b442-0e245f85a71d,763,7.35,2024-04-13
6c5109a6-833d-4731-940a-72346aefa224,636,55.12,2024-04-28
cc2fa208-7284-4346-8bfa-5607922946ff,375,81.3,2024-05-12
8f4e86f5-f528-4a7c-8599-df0aad951ca1,633,81.63,2024-11-07
7700ca22-8d41-4616-9d75-286901e67513,508,45.4,2024-04-05
dd16f111-4756-40fe-ad82-0872c0d4b04e,787,113.06,2024-11-26
1b4983e8-7a7c-4471-95bf-8379d0f5a338,943,20.92,2024-05-22
907f6648-d37b-4b2f-a381-7bcb0bfef265,398,60.54,2024-10-14
5b178d86-4581-475a-b2b8-12fcaeb73d58,120,83.22,2024-01-28
9606782e-8b73-4b5f-ac07-864408d31775,934,83.96,2024-10-04
59d2c083-bf33-47d5-ac19-ef83bb939fee,437,78.19,2024-08-20
da3814a8-3662-4b3a-9e2e-9ea4a9d5a683,829,33.76,2024-01-17
e868b568-d5e6-4809-9998-9731da82ac4c,676,19.59,2024-02-28
491ffdbc-7acb-49b3-965d-ac639e432c1d,936,76.68,2024-03-30
3736504c-19ca-4d80-bc29-13290987f46a,465,72.32,2024-07-17
4b0b9936-a2dc-4234-a2c0-040e0c425f5c,286,22.34,2024-12-27
a843cfce-a3db-4e2b-a60e-b2f87590238e,265,84.91,2024-01-26
6457e4fd-4a74-4f00-9a7d-9f6a5bc09e0a,320,55.17,2024-01-25
c0fd44c0-6d6b-4d8d-bf0e-b5c771c91190,673,80.46,2024-10-27
0983e1ff-f164-48f6-91d9-a75c6d185771,376,100.65,2024-12-04
522abf52-41ce-4e00-95ac-18110d810bae,820,21.2,2024-09-23
85dfd4b3-ac0e-4ec8-82bc-ddad83e7e6e8,89,3.28,2024-06-29
ea2fa432-644b-48c2-b902-a5c2f69dc6fd,654,93.71,2024-12-25
4cc35ca1-5749-4d03-947c-cfac967d63e5,203,73.55,2024-03-08
2259407c-a409-4262-9003-d54938b99eb8,821,84.26,2024-12-16
e9c04a2c-864a-4756-a1aa-a9632f16b490,739,100.74,2024-11-16
9a2c31b5-2238-428d-9ff3-36b40d940765,955,96.53,2024-02-18
fb738d08-e151-41d0-b912-b8bf01faa72d,334,115.35,2024-06-23
f2348d06-9d98-468f-884e-d71e965b6b21,222,64.78,2024-02-21
